Vteam,Hteam
Los Angeles Lakers,Miami Heat
Memphis Grizzlies,Minnesota Timberwolves
New York Knicks,Orlando Magic
Golden State Warriors,San Antonio Spurs
Portland Trail Blazers,Washington Wizards
Los Angeles Clippers,Atlanta Hawks
Boston Celtics,Charlotte Hornets
Cleveland Cavaliers,Detroit Pistons
Utah Jazz,Indiana Pacers
Dallas Mavericks,Memphis Grizzlies
Denver Nuggets,Milwaukee Bucks
San Antonio Spurs,New Orleans Pelicans
Phoenix Suns,Philadelphia 76ers
Oklahoma City Thunder,Sacramento Kings
Brooklyn Nets,Miami Heat
Portland Trail Blazers,New York Knicks
Toronto Raptors,Orlando Magic
Los Angeles Clippers,Washington Wizards
Toronto Raptors,Atlanta Hawks
New York Knicks,Boston Celtics
Phoenix Suns,Chicago Bulls
Indiana Pacers,Charlotte Hornets
Los Angeles Lakers,Cleveland Cavaliers
Brooklyn Nets,Dallas Mavericks
Oklahoma City Thunder,Golden State Warriors
Detroit Pistons,Houston Rockets
Portland Trail Blazers,Milwaukee Bucks
Denver Nuggets,Minnesota Timberwolves
New Orleans Pelicans,Philadelphia 76ers
Memphis Grizzlies,San Antonio Spurs
Sacramento Kings,Utah Jazz
Boston Celtics,Atlanta Hawks
Minnesota Timberwolves,Brooklyn Nets
Miami Heat,Chicago Bulls
Orlando Magic,Denver Nuggets
Houston Rockets,Detroit Pistons
Portland Trail Blazers,Golden State Warriors
San Antonio Spurs,Indiana Pacers
Memphis Grizzlies,Los Angeles Clippers
Utah Jazz,Los Angeles Lakers
Phoenix Suns,Milwaukee Bucks
New Orleans Pelicans,New York Knicks
Charlotte Hornets,Oklahoma City Thunder
Cleveland Cavaliers,Philadelphia 76ers
Washington Wizards,Toronto Raptors
Houston Rockets,Cleveland Cavaliers
Boston Celtics,Dallas Mavericks
Sacramento Kings,Golden State Warriors
San Antonio Spurs,Milwaukee Bucks
Chicago Bulls,Minnesota Timberwolves
Denver Nuggets,Oklahoma City Thunder
New Orleans Pelicans,Washington Wizards
Charlotte Hornets,Atlanta Hawks
Philadelphia 76ers,Brooklyn Nets
Phoenix Suns,Detroit Pistons
Orlando Magic,Los Angeles Lakers
New York Knicks,Memphis Grizzlies
Los Angeles Clippers,Portland Trail Blazers
Utah Jazz,Sacramento Kings
Miami Heat,Toronto Raptors
San Antonio Spurs,Chicago Bulls
Milwaukee Bucks,Charlotte Hornets
Minnesota Timberwolves,Cleveland Cavaliers
Orlando Magic,Golden State Warriors
Boston Celtics,New Orleans Pelicans
Indiana Pacers,Utah Jazz
Houston Rockets,Washington Wizards
Los Angeles Lakers,Denver Nuggets
New York Knicks,Detroit Pistons
Toronto Raptors,Memphis Grizzlies
Atlanta Hawks,Miami Heat
Indiana Pacers,Phoenix Suns
Utah Jazz,Brooklyn Nets
Atlanta Hawks,Charlotte Hornets
Dallas Mavericks,Houston Rockets
Phoenix Suns,Los Angeles Clippers
Chicago Bulls,Milwaukee Bucks
San Antonio Spurs,Minnesota Timberwolves
Washington Wizards,New Orleans Pelicans
Cleveland Cavaliers,Oklahoma City Thunder
New York Knicks,Philadelphia 76ers
Orlando Magic,Portland Trail Blazers
Indiana Pacers,Los Angeles Lakers
Los Angeles Clippers,Sacramento Kings
Golden State Warriors,Toronto Raptors
Cleveland Cavaliers,Boston Celtics
Memphis Grizzlies,Brooklyn Nets
Utah Jazz,Charlotte Hornets
Chicago Bulls,Detroit Pistons
Dallas Mavericks,Los Angeles Lakers
New Orleans Pelicans,Miami Heat
Atlanta Hawks,Oklahoma City Thunder
Washington Wizards,Philadelphia 76ers
Orlando Magic,Phoenix Suns
Denver Nuggets,Portland Trail Blazers
Houston Rockets,San Antonio Spurs
Toronto Raptors,Cleveland Cavaliers
Golden State Warriors,Detroit Pistons
Chicago Bulls,Houston Rockets
Boston Celtics,Minnesota Timberwolves
Milwaukee Bucks,New York Knicks
Indiana Pacers,Sacramento Kings
Brooklyn Nets,Washington Wizards
New Orleans Pelicans,Charlotte Hornets
Los Angeles Clippers,Dallas Mavericks
Phoenix Suns,Los Angeles Lakers
Utah Jazz,Miami Heat
Memphis Grizzlies,Philadelphia 76ers
Portland Trail Blazers,San Antonio Spurs
Golden State Warriors,Atlanta Hawks
Cleveland Cavaliers,Brooklyn Nets
Oklahoma City Thunder,Detroit Pistons
Houston Rockets,Minnesota Timberwolves
Los Angeles Clippers,New Orleans Pelicans
Washington Wizards,New York Knicks
Denver Nuggets,Toronto Raptors
Portland Trail Blazers,Dallas Mavericks
Chicago Bulls,Indiana Pacers
Orlando Magic,Miami Heat
Sacramento Kings,Phoenix Suns
San Antonio Spurs,Utah Jazz
Washington Wizards,Atlanta Hawks
Oklahoma City Thunder,Brooklyn Nets
Golden State Warriors,Cleveland Cavaliers
San Antonio Spurs,Los Angeles Lakers
Los Angeles Clippers,Memphis Grizzlies
Detroit Pistons,Milwaukee Bucks
Charlotte Hornets,Minnesota Timberwolves
Dallas Mavericks,New Orleans Pelicans
Denver Nuggets,Orlando Magic
Philadelphia 76ers,Toronto Raptors
New York Knicks,Boston Celtics
Phoenix Suns,Portland Trail Blazers
Houston Rockets,Utah Jazz
Toronto Raptors,Brooklyn Nets
Oklahoma City Thunder,Chicago Bulls
Denver Nuggets,Charlotte Hornets
Sacramento Kings,Cleveland Cavaliers
Philadelphia 76ers,Detroit Pistons
Golden State Warriors,Milwaukee Bucks
Memphis Grizzlies,New Orleans Pelicans
Indiana Pacers,Orlando Magic
Miami Heat,Phoenix Suns
Los Angeles Lakers,San Antonio Spurs
Denver Nuggets,Atlanta Hawks
Boston Celtics,Chicago Bulls
Washington Wizards,Cleveland Cavaliers
Houston Rockets,Dallas Mavericks
Sacramento Kings,Indiana Pacers
Miami Heat,Los Angeles Clippers
Los Angeles Lakers,Memphis Grizzlies
Brooklyn Nets,New York Knicks
Minnesota Timberwolves,Portland Trail Blazers
New Orleans Pelicans,Detroit Pistons
Charlotte Hornets,New York Knicks
Utah Jazz,San Antonio Spurs
Milwaukee Bucks,Toronto Raptors
New Orleans Pelicans,Boston Celtics
Sacramento Kings,Chicago Bulls
Orlando Magic,Dallas Mavericks
Memphis Grizzlies,Denver Nuggets
Minnesota Timberwolves,Golden State Warriors
Washington Wizards,Indiana Pacers
Miami Heat,Los Angeles Lakers
Cleveland Cavaliers,Milwaukee Bucks
Utah Jazz,Oklahoma City Thunder
Detroit Pistons,Philadelphia 76ers
Los Angeles Clippers,Phoenix Suns
Portland Trail Blazers,Houston Rockets
Toronto Raptors,Los Angeles Clippers
Phoenix Suns,San Antonio Spurs
Detroit Pistons,Charlotte Hornets
New York Knicks,Cleveland Cavaliers
Atlanta Hawks,Dallas Mavericks
Toronto Raptors,Golden State Warriors
Milwaukee Bucks,Indiana Pacers
Portland Trail Blazers,Memphis Grizzlies
Oklahoma City Thunder,New Orleans Pelicans
Brooklyn Nets,Philadelphia 76ers
Minnesota Timberwolves,Sacramento Kings
Miami Heat,Utah Jazz
Boston Celtics,Washington Wizards
Los Angeles Lakers,Houston Rockets
Chicago Bulls,Orlando Magic
Dallas Mavericks,Phoenix Suns
Los Angeles Clippers,San Antonio Spurs
Atlanta Hawks,Boston Celtics
Washington Wizards,Brooklyn Nets
New York Knicks,Charlotte Hornets
Milwaukee Bucks,Cleveland Cavaliers
Oklahoma City Thunder,Denver Nuggets
Miami Heat,Memphis Grizzlies
Indiana Pacers,Philadelphia 76ers
Toronto Raptors,Portland Trail Blazers
Golden State Warriors,Sacramento Kings
Los Angeles Lakers,Charlotte Hornets
Boston Celtics,Detroit Pistons
Houston Rockets,Memphis Grizzlies
Los Angeles Clippers,Oklahoma City Thunder
Utah Jazz,Orlando Magic
Minnesota Timberwolves,Phoenix Suns
Chicago Bulls,San Antonio Spurs
Atlanta Hawks,Brooklyn Nets
Philadelphia 76ers,Cleveland Cavaliers
Sacramento Kings,Dallas Mavericks
Toronto Raptors,Denver Nuggets
New York Knicks,Indiana Pacers
Miami Heat,New Orleans Pelicans
Los Angeles Lakers,Washington Wizards
Milwaukee Bucks,Detroit Pistons
Memphis Grizzlies,Golden State Warriors
Utah Jazz,Houston Rockets
Portland Trail Blazers,Los Angeles Clippers
Sacramento Kings,Minnesota Timberwolves
Phoenix Suns,New York Knicks
Chicago Bulls,Oklahoma City Thunder
Philadelphia 76ers,San Antonio Spurs
Washington Wizards,Atlanta Hawks
Los Angeles Lakers,Brooklyn Nets
Dallas Mavericks,Denver Nuggets
Cleveland Cavaliers,Indiana Pacers
Phoenix Suns,Boston Celtics
Brooklyn Nets,Chicago Bulls
Cleveland Cavaliers,Charlotte Hornets
Washington Wizards,Houston Rockets
New Orleans Pelicans,Milwaukee Bucks
Detroit Pistons,Minnesota Timberwolves
San Antonio Spurs,Orlando Magic
New York Knicks,Philadelphia 76ers
Memphis Grizzlies,Portland Trail Blazers
Oklahoma City Thunder,Sacramento Kings
Indiana Pacers,Toronto Raptors
Golden State Warriors,Utah Jazz
Dallas Mavericks,Los Angeles Clippers
Houston Rockets,Miami Heat
Milwaukee Bucks,Boston Celtics
Indiana Pacers,Brooklyn Nets
Orlando Magic,Chicago Bulls
Detroit Pistons,Charlotte Hornets
New Orleans Pelicans,Los Angeles Lakers
Atlanta Hawks,New York Knicks
Utah Jazz,Portland Trail Blazers
Memphis Grizzlies,Sacramento Kings
Minnesota Timberwolves,San Antonio Spurs
Cleveland Cavaliers,Toronto Raptors
Dallas Mavericks,Golden State Warriors
San Antonio Spurs,Houston Rockets
Denver Nuggets,Los Angeles Clippers
Milwaukee Bucks,Miami Heat
Toronto Raptors,Philadelphia 76ers
Oklahoma City Thunder,Utah Jazz
Phoenix Suns,Washington Wizards
Charlotte Hornets,Boston Celtics
Phoenix Suns,Brooklyn Nets
Chicago Bulls,Cleveland Cavaliers
Atlanta Hawks,Detroit Pistons
Los Angeles Clippers,Golden State Warriors
Washington Wizards,Indiana Pacers
Memphis Grizzlies,Los Angeles Lakers
Minnesota Timberwolves,Oklahoma City Thunder
Miami Heat,Orlando Magic
Dallas Mavericks,Portland Trail Blazers
New Orleans Pelicans,Sacramento Kings
Philadelphia 76ers,Boston Celtics
Los Angeles Lakers,Golden State Warriors
Oklahoma City Thunder,Houston Rockets
Milwaukee Bucks,New York Knicks
Portland Trail Blazers,Utah Jazz
Indiana Pacers,Atlanta Hawks
Charlotte Hornets,Brooklyn Nets
Minnesota Timberwolves,Chicago Bulls
New Orleans Pelicans,Dallas Mavericks
Washington Wizards,Detroit Pistons
Sacramento Kings,Los Angeles Clippers
Cleveland Cavaliers,Memphis Grizzlies
Toronto Raptors,Miami Heat
Phoenix Suns,Orlando Magic
Denver Nuggets,San Antonio Spurs
Portland Trail Blazers,Golden State Warriors
Boston Celtics,Houston Rockets
New York Knicks,Milwaukee Bucks
Los Angeles Lakers,Sacramento Kings
Philadelphia 76ers,Utah Jazz
Brooklyn Nets,Charlotte Hornets
San Antonio Spurs,Denver Nuggets
Detroit Pistons,Indiana Pacers
Los Angeles Clippers,Los Angeles Lakers
Cleveland Cavaliers,Miami Heat
Atlanta Hawks,Minnesota Timberwolves
Dallas Mavericks,New Orleans Pelicans
Toronto Raptors,Orlando Magic
Oklahoma City Thunder,Phoenix Suns
Chicago Bulls,Washington Wizards
Cleveland Cavaliers,Atlanta Hawks
San Antonio Spurs,Los Angeles Clippers
Boston Celtics,Memphis Grizzlies
Brooklyn Nets,Milwaukee Bucks
Houston Rockets,New Orleans Pelicans
Denver Nuggets,Phoenix Suns
Golden State Warriors,Portland Trail Blazers
New York Knicks,Utah Jazz
Charlotte Hornets,Washington Wizards
Oklahoma City Thunder,Dallas Mavericks
Sacramento Kings,Los Angeles Lakers
Minnesota Timberwolves,Miami Heat
Detroit Pistons,Orlando Magic
Philadelphia 76ers,Portland Trail Blazers
Chicago Bulls,Toronto Raptors
Orlando Magic,Charlotte Hornets
Memphis Grizzlies,Houston Rockets
Atlanta Hawks,Indiana Pacers
Minnesota Timberwolves,New Orleans Pelicans
Dallas Mavericks,Oklahoma City Thunder
Golden State Warriors,Phoenix Suns
Boston Celtics,San Antonio Spurs
New York Knicks,Denver Nuggets
Philadelphia 76ers,Los Angeles Clippers
Detroit Pistons,Milwaukee Bucks
Portland Trail Blazers,Sacramento Kings
Utah Jazz,Toronto Raptors
Minnesota Timberwolves,Boston Celtics
New Orleans Pelicans,Brooklyn Nets
Orlando Magic,Chicago Bulls
Dallas Mavericks,Charlotte Hornets
Miami Heat,Cleveland Cavaliers
Oklahoma City Thunder,Los Angeles Lakers
Detroit Pistons,Memphis Grizzlies
Philadelphia 76ers,Phoenix Suns
Atlanta Hawks,Washington Wizards
Houston Rockets,Golden State Warriors
Denver Nuggets,Sacramento Kings
Toronto Raptors,San Antonio Spurs
Dallas Mavericks,Boston Celtics
Indiana Pacers,Chicago Bulls
Utah Jazz,Cleveland Cavaliers
New York Knicks,Los Angeles Lakers
Brooklyn Nets,Memphis Grizzlies
Washington Wizards,Miami Heat
Atlanta Hawks,Milwaukee Bucks
Orlando Magic,Minnesota Timberwolves
Los Angeles Clippers,Phoenix Suns
Oklahoma City Thunder,Portland Trail Blazers
New Orleans Pelicans,Cleveland Cavaliers
Charlotte Hornets,Denver Nuggets
Utah Jazz,Detroit Pistons
Toronto Raptors,Milwaukee Bucks
Dallas Mavericks,Philadelphia 76ers
Houston Rockets,Portland Trail Blazers
Golden State Warriors,Sacramento Kings
Memphis Grizzlies,San Antonio Spurs
Miami Heat,Atlanta Hawks
Brooklyn Nets,Chicago Bulls
Orlando Magic,Los Angeles Clippers
Los Angeles Lakers,Minnesota Timberwolves
Washington Wizards,Oklahoma City Thunder
Charlotte Hornets,Phoenix Suns
Indiana Pacers,Toronto Raptors
Brooklyn Nets,Boston Celtics
Los Angeles Lakers,Dallas Mavericks
San Antonio Spurs,Detroit Pistons
Denver Nuggets,Houston Rockets
Utah Jazz,Milwaukee Bucks
Memphis Grizzlies,New Orleans Pelicans
New York Knicks,Portland Trail Blazers
Orlando Magic,Sacramento Kings
Indiana Pacers,Cleveland Cavaliers
New York Knicks,Golden State Warriors
Charlotte Hornets,Los Angeles Clippers
Denver Nuggets,Miami Heat
Minnesota Timberwolves,Oklahoma City Thunder
Washington Wizards,Philadelphia 76ers
Sacramento Kings,Phoenix Suns
Atlanta Hawks,Toronto Raptors
Indiana Pacers,Boston Celtics
Atlanta Hawks,Brooklyn Nets
Phoenix Suns,Dallas Mavericks
Milwaukee Bucks,Houston Rockets
Detroit Pistons,Los Angeles Lakers
San Antonio Spurs,Memphis Grizzlies
Cleveland Cavaliers,New Orleans Pelicans
Chicago Bulls,Portland Trail Blazers
Orlando Magic,Utah Jazz
Philadelphia 76ers,Washington Wizards
Los Angeles Clippers,Denver Nuggets
Boston Celtics,Miami Heat
Detroit Pistons,Sacramento Kings
Oklahoma City Thunder,San Antonio Spurs
Chicago Bulls,Golden State Warriors
Cleveland Cavaliers,Houston Rockets
Dallas Mavericks,Minnesota Timberwolves
Indiana Pacers,New York Knicks
Atlanta Hawks,Philadelphia 76ers
Charlotte Hornets,Portland Trail Blazers
Brooklyn Nets,Toronto Raptors
Los Angeles Lakers,Utah Jazz
Milwaukee Bucks,Washington Wizards
Detroit Pistons,Los Angeles Clippers
Memphis Grizzlies,Miami Heat
New Orleans Pelicans,Minnesota Timberwolves
San Antonio Spurs,Oklahoma City Thunder
Boston Celtics,Orlando Magic
Denver Nuggets,Phoenix Suns
Charlotte Hornets,Sacramento Kings
Chicago Bulls,Utah Jazz
Milwaukee Bucks,Atlanta Hawks
Golden State Warriors,Dallas Mavericks
Portland Trail Blazers,Denver Nuggets
Cleveland Cavaliers,Los Angeles Lakers
Philadelphia 76ers,New York Knicks
Houston Rockets,Orlando Magic
Toronto Raptors,Washington Wizards
Boston Celtics,Brooklyn Nets
Memphis Grizzlies,Houston Rockets
New Orleans Pelicans,Los Angeles Clippers
Portland Trail Blazers,Sacramento Kings
Charlotte Hornets,San Antonio Spurs
Detroit Pistons,Utah Jazz
Oklahoma City Thunder,Atlanta Hawks
Golden State Warriors,Denver Nuggets
Phoenix Suns,Indiana Pacers
Chicago Bulls,Los Angeles Lakers
Miami Heat,Milwaukee Bucks
Minnesota Timberwolves,Philadelphia 76ers
Toronto Raptors,Boston Celtics
San Antonio Spurs,Dallas Mavericks
Orlando Magic,Detroit Pistons
New Orleans Pelicans,Golden State Warriors
Brooklyn Nets,Houston Rockets
Utah Jazz,Los Angeles Clippers
Milwaukee Bucks,Memphis Grizzlies
Cleveland Cavaliers,Portland Trail Blazers
Sacramento Kings,Charlotte Hornets
Chicago Bulls,Denver Nuggets
Philadelphia 76ers,Indiana Pacers
Los Angeles Lakers,Oklahoma City Thunder
Phoenix Suns,Toronto Raptors
New York Knicks,Washington Wizards
Memphis Grizzlies,Boston Celtics
Miami Heat,Detroit Pistons
Golden State Warriors,Los Angeles Clippers
San Antonio Spurs,Minnesota Timberwolves
Brooklyn Nets,Orlando Magic
New Orleans Pelicans,Portland Trail Blazers
Cleveland Cavaliers,Utah Jazz
Boston Celtics,Atlanta Hawks
Miami Heat,Chicago Bulls
Phoenix Suns,Charlotte Hornets
Cleveland Cavaliers,Denver Nuggets
Sacramento Kings,Detroit Pistons
Los Angeles Lakers,Houston Rockets
Dallas Mavericks,Indiana Pacers
Milwaukee Bucks,Orlando Magic
Oklahoma City Thunder,Philadelphia 76ers
Memphis Grizzlies,Toronto Raptors
Charlotte Hornets,Indiana Pacers
Phoenix Suns,Minnesota Timberwolves
Los Angeles Clippers,San Antonio Spurs
Orlando Magic,Atlanta Hawks
Miami Heat,Boston Celtics
Sacramento Kings,Brooklyn Nets
Chicago Bulls,Cleveland Cavaliers
Golden State Warriors,Los Angeles Lakers
New Orleans Pelicans,Memphis Grizzlies
Dallas Mavericks,Milwaukee Bucks
Oklahoma City Thunder,New York Knicks
Houston Rockets,Philadelphia 76ers
Portland Trail Blazers,Utah Jazz
Detroit Pistons,Washington Wizards
Los Angeles Clippers,Dallas Mavericks
Portland Trail Blazers,Oklahoma City Thunder
Minnesota Timberwolves,Phoenix Suns
Sacramento Kings,Toronto Raptors
Cleveland Cavaliers,Boston Celtics
Orlando Magic,Brooklyn Nets
Atlanta Hawks,Chicago Bulls
Toronto Raptors,Indiana Pacers
Charlotte Hornets,Memphis Grizzlies
Los Angeles Clippers,Miami Heat
Detroit Pistons,New Orleans Pelicans
Houston Rockets,New York Knicks
San Antonio Spurs,Philadelphia 76ers
Denver Nuggets,Utah Jazz
Minnesota Timberwolves,Los Angeles Lakers
New Orleans Pelicans,Oklahoma City Thunder
Portland Trail Blazers,Phoenix Suns
Golden State Warriors,Washington Wizards
New York Knicks,Brooklyn Nets
Los Angeles Clippers,Chicago Bulls
Miami Heat,Cleveland Cavaliers
Detroit Pistons,Dallas Mavericks
Phoenix Suns,Denver Nuggets
