WTeam,LTeam,WLoc
Phoenix Suns,Chicago Bulls,H
Toronto Raptors,Washington Wizards,H
Charlotte Hornets,Minnesota Timberwolves,H
Boston Celtics,Dallas Mavericks,V
Cleveland Cavaliers,Detroit Pistons,V
Portland Trail Blazers,Memphis Grizzlies,V
Washington Wizards,Milwaukee Bucks,V
New Orleans Pelicans,Oklahoma City Thunder,H
New York Knicks,Los Angeles Clippers,H
Indiana Pacers,Orlando Magic,V
Philadelphia 76ers,Utah Jazz,H
Denver Nuggets,Sacramento Kings,V
San Antonio Spurs,Atlanta Hawks,H
Los Angeles Lakers,Chicago Bulls,H
Los Angeles Clippers,Atlanta Hawks,V
Charlotte Hornets,Washington Wizards,H
Cleveland Cavaliers,Brooklyn Nets,H
Houston Rockets,Denver Nuggets,H
Dallas Mavericks,Memphis Grizzlies,V
Miami Heat,Boston Celtics,H
Minnesota Timberwolves,Orlando Magic,H
New Orleans Pelicans,San Antonio Spurs,H
New York Knicks,Toronto Raptors,H
Oklahoma City Thunder,Golden State Warriors,H
Philadelphia 76ers,Portland Trail Blazers,H
Milwaukee Bucks,Phoenix Suns,V
Sacramento Kings,Los Angeles Lakers,H
Utah Jazz,Chicago Bulls,H
Atlanta Hawks,New York Knicks,H
Boston Celtics,Orlando Magic,H
Portland Trail Blazers,Brooklyn Nets,V
Cleveland Cavaliers,Charlotte Hornets,H
Denver Nuggets,Memphis Grizzlies,H
Golden State Warriors,Chicago Bulls,H
Indiana Pacers,Toronto Raptors,H
Miami Heat,Minnesota Timberwolves,V
Detroit Pistons,Oklahoma City Thunder,V
New Orleans Pelicans,Phoenix Suns,V
Toronto Raptors,Atlanta Hawks,V
San Antonio Spurs,Charlotte Hornets,V
Dallas Mavericks,Oklahoma City Thunder,H
Golden State Warriors,New Orleans Pelicans,H
Houston Rockets,New York Knicks,H
Boston Celtics,Indiana Pacers,V
Philadelphia 76ers,Orlando Magic,H
Los Angeles Clippers,Sacramento Kings,V
Utah Jazz,Milwaukee Bucks,H
Portland Trail Blazers,Washington Wizards,V
Miami Heat,Chicago Bulls,V
Brooklyn Nets,Memphis Grizzlies,V
Minnesota Timberwolves,Phoenix Suns,H
Detroit Pistons,Boston Celtics,V
Sacramento Kings,Golden State Warriors,V
Houston Rockets,Brooklyn Nets,H
Indiana Pacers,Orlando Magic,H
Los Angeles Clippers,Los Angeles Lakers,H
Portland Trail Blazers,New York Knicks,V
Cleveland Cavaliers,Philadelphia 76ers,V
San Antonio Spurs,Dallas Mavericks,H
Phoenix Suns,Chicago Bulls,V
Cleveland Cavaliers,Miami Heat,H
Washington Wizards,Minnesota Timberwolves,V
Milwaukee Bucks,Sacramento Kings,V
Utah Jazz,Denver Nuggets,H
Brooklyn Nets,Dallas Mavericks,V
Detroit Pistons,Phoenix Suns,H
Houston Rockets,Indiana Pacers,H
Golden State Warriors,Los Angeles Lakers,V
Minnesota Timberwolves,New Orleans Pelicans,V
New York Knicks,Miami Heat,H
Orlando Magic,Oklahoma City Thunder,H
Philadelphia 76ers,Washington Wizards,H
San Antonio Spurs,Memphis Grizzlies,H
Toronto Raptors,Charlotte Hornets,H
Cleveland Cavaliers,Atlanta Hawks,V
Boston Celtics,Philadelphia 76ers,H
Denver Nuggets,Chicago Bulls,H
Utah Jazz,Los Angeles Clippers,V
Milwaukee Bucks,Portland Trail Blazers,V
Sacramento Kings,Chicago Bulls,V
San Antonio Spurs,Memphis Grizzlies,V
Miami Heat,Charlotte Hornets,H
Oklahoma City Thunder,Minnesota Timberwolves,H
Golden State Warriors,Orlando Magic,V
Toronto Raptors,Indiana Pacers,H
Utah Jazz,New Orleans Pelicans,H
Washington Wizards,Detroit Pistons,H
Boston Celtics,Phoenix Suns,H
Atlanta Hawks,Brooklyn Nets,V
Cleveland Cavaliers,Memphis Grizzlies,H
Dallas Mavericks,Los Angeles Clippers,H
Denver Nuggets,Los Angeles Lakers,H
Milwaukee Bucks,Sacramento Kings,H
Philadelphia 76ers,Detroit Pistons,H
New Orleans Pelicans,Portland Trail Blazers,V
Houston Rockets,Los Angeles Lakers,V
Golden State Warriors,Miami Heat,V
Minnesota Timberwolves,Los Angeles Clippers,H
Orlando Magic,New York Knicks,V
Oklahoma City Thunder,San Antonio Spurs,H
Brooklyn Nets,Atlanta Hawks,V
Boston Celtics,Milwaukee Bucks,H
Cleveland Cavaliers,Chicago Bulls,V
Charlotte Hornets,Orlando Magic,H
Dallas Mavericks,Denver Nuggets,H
Indiana Pacers,New York Knicks,H
Memphis Grizzlies,Minnesota Timberwolves,H
Golden State Warriors,New Orleans Pelicans,V
Phoenix Suns,Philadelphia 76ers,V
San Antonio Spurs,Detroit Pistons,H
Utah Jazz,Washington Wizards,H
Oklahoma City Thunder,Utah Jazz,H
Washington Wizards,Portland Trail Blazers,V
Toronto Raptors,Phoenix Suns,H
Boston Celtics,Dallas Mavericks,H
Golden State Warriors,Charlotte Hornets,V
Cleveland Cavaliers,Sacramento Kings,H
Indiana Pacers,Chicago Bulls,H
Minnesota Timberwolves,Los Angeles Clippers,V
Milwaukee Bucks,Detroit Pistons,H
New Orleans Pelicans,Denver Nuggets,H
New York Knicks,Memphis Grizzlies,H
Orlando Magic,Atlanta Hawks,H
San Antonio Spurs,Miami Heat,H
Brooklyn Nets,Oklahoma City Thunder,H
Los Angeles Lakers,Philadelphia 76ers,V
Washington Wizards,Phoenix Suns,V
Houston Rockets,Utah Jazz,V
Chicago Bulls,Charlotte Hornets,V
Golden State Warriors,Detroit Pistons,V
Indiana Pacers,Cleveland Cavaliers,H
Toronto Raptors,Memphis Grizzlies,V
Milwaukee Bucks,Dallas Mavericks,H
Sacramento Kings,New Orleans Pelicans,V
Denver Nuggets,Orlando Magic,V
San Antonio Spurs,Boston Celtics,H
Atlanta Hawks,Orlando Magic,H
Miami Heat,Brooklyn Nets,V
Chicago Bulls,New York Knicks,H
Los Angeles Lakers,Charlotte Hornets,V
Cleveland Cavaliers,Philadelphia 76ers,H
Los Angeles Clippers,Washington Wizards,H
Oklahoma City Thunder,Memphis Grizzlies,V
Milwaukee Bucks,Utah Jazz,H
San Antonio Spurs,Phoenix Suns,V
Houston Rockets,Portland Trail Blazers,V
Boston Celtics,Detroit Pistons,V
Indiana Pacers,Denver Nuggets,H
Minnesota Timberwolves,Dallas Mavericks,H
New Orleans Pelicans,Philadelphia 76ers,H
New York Knicks,Atlanta Hawks,H
Toronto Raptors,Sacramento Kings,V
Chicago Bulls,Boston Celtics,H
Golden State Warriors,Portland Trail Blazers,H
Houston Rockets,New Orleans Pelicans,H
Los Angeles Clippers,Toronto Raptors,H
Miami Heat,Memphis Grizzlies,V
Charlotte Hornets,Oklahoma City Thunder,V
Brooklyn Nets,Washington Wizards,H
Cleveland Cavaliers,Atlanta Hawks,H
Dallas Mavericks,San Antonio Spurs,H
Denver Nuggets,Detroit Pistons,V
Philadelphia 76ers,Minnesota Timberwolves,V
New York Knicks,Los Angeles Lakers,H
Sacramento Kings,Phoenix Suns,H
Boston Celtics,Denver Nuggets,H
Chicago Bulls,Utah Jazz,H
Houston Rockets,Charlotte Hornets,H
Oklahoma City Thunder,Indiana Pacers,V
Portland Trail Blazers,Miami Heat,V
New Orleans Pelicans,Milwaukee Bucks,H
Los Angeles Clippers,Orlando Magic,V
Toronto Raptors,Phoenix Suns,V
Washington Wizards,Memphis Grizzlies,H
Detroit Pistons,Atlanta Hawks,V
New York Knicks,Brooklyn Nets,V
Cleveland Cavaliers,Los Angeles Lakers,H
Golden State Warriors,Dallas Mavericks,H
Minnesota Timberwolves,Sacramento Kings,H
Utah Jazz,Boston Celtics,V
Miami Heat,Charlotte Hornets,V
Denver Nuggets,New Orleans Pelicans,H
Houston Rockets,San Antonio Spurs,H
Detroit Pistons,Indiana Pacers,V
Memphis Grizzlies,Atlanta Hawks,H
Chicago Bulls,Milwaukee Bucks,V
Portland Trail Blazers,Orlando Magic,V
Oklahoma City Thunder,Philadelphia 76ers,V
Toronto Raptors,Brooklyn Nets,H
Washington Wizards,Los Angeles Clippers,H
Portland Trail Blazers,Charlotte Hornets,V
Cleveland Cavaliers,Utah Jazz,H
Houston Rockets,Milwaukee Bucks,H
Boston Celtics,Memphis Grizzlies,V
Miami Heat,Los Angeles Clippers,H
Phoenix Suns,Minnesota Timberwolves,V
New York Knicks,Oklahoma City Thunder,H
San Antonio Spurs,Dallas Mavericks,H
Indiana Pacers,Brooklyn Nets,V
Detroit Pistons,Orlando Magic,H
Toronto Raptors,Sacramento Kings,H
Cleveland Cavaliers,Washington Wizards,V
Atlanta Hawks,Miami Heat,H
Chicago Bulls,Philadelphia 76ers,H
Charlotte Hornets,New York Knicks,H
Phoenix Suns,Dallas Mavericks,V
Houston Rockets,Utah Jazz,H
Boston Celtics,Indiana Pacers,V
Golden State Warriors,Los Angeles Lakers,V
Minnesota Timberwolves,Portland Trail Blazers,H
Oklahoma City Thunder,Denver Nuggets,H
San Antonio Spurs,Los Angeles Clippers,H
Milwaukee Bucks,Cleveland Cavaliers,H
Sacramento Kings,Philadelphia 76ers,V
