win,lose,probability
Toronto Raptors,Boston Celtics,0.5625960095257015
Indiana Pacers,Miami Heat,0.5775535039953309
Memphis Grizzlies,Sacramento Kings,0.5222316966059946
Milwaukee Bucks,Chicago Bulls,0.8193654230351932
Portland Trail Blazers,Minnesota Timberwolves,0.5209755211775436
New Orleans Pelicans,New York Knicks,0.8468753537635174
Philadelphia 76ers,Utah Jazz,0.5833005369757029
Washington Wizards,Brooklyn Nets,0.7748189006483586
Boston Celtics,Utah Jazz,0.5391286262523125
Los Angeles Clippers,Brooklyn Nets,0.723531342132252
Toronto Raptors,Chicago Bulls,0.8861757086086176
Philadelphia 76ers,Charlotte Hornets,0.7509902191222158
Golden State Warriors,Dallas Mavericks,0.9307838697103736
Houston Rockets,Sacramento Kings,0.9287490754285145
Indiana Pacers,Atlanta Hawks,0.8218907054893281
New Orleans Pelicans,Denver Nuggets,0.5235337780891028
Los Angeles Lakers,Orlando Magic,0.6740020779752258
Oklahoma City Thunder,Phoenix Suns,0.8579411230080409
Miami Heat,Los Angeles Lakers,0.6964077582779258
Minnesota Timberwolves,Memphis Grizzlies,0.8980483550211203
New York Knicks,Orlando Magic,0.5210018717080658
Golden State Warriors,San Antonio Spurs,0.7186235514425456
Portland Trail Blazers,Washington Wizards,0.5011628735847007
Los Angeles Clippers,Atlanta Hawks,0.7660801958896142
Boston Celtics,Charlotte Hornets,0.8460735414075258
Cleveland Cavaliers,Detroit Pistons,0.6994391095516835
Utah Jazz,Indiana Pacers,0.5621040411661693
Dallas Mavericks,Memphis Grizzlies,0.5403152630981252
Denver Nuggets,Milwaukee Bucks,0.5343267752224641
New Orleans Pelicans,San Antonio Spurs,0.5186216290548997
Philadelphia 76ers,Phoenix Suns,0.951609046456611
Oklahoma City Thunder,Sacramento Kings,0.7728488015982161
Miami Heat,Brooklyn Nets,0.7462614962197778
Portland Trail Blazers,New York Knicks,0.7484744328560364
Toronto Raptors,Orlando Magic,0.9138258365826892
Washington Wizards,Los Angeles Clippers,0.6508632339530187
Toronto Raptors,Atlanta Hawks,0.921062345295547
Boston Celtics,New York Knicks,0.8834493564990737
Chicago Bulls,Phoenix Suns,0.7308195429123899
Indiana Pacers,Charlotte Hornets,0.7868764912708058
Cleveland Cavaliers,Los Angeles Lakers,0.7990173531643008
Brooklyn Nets,Dallas Mavericks,0.6601665734456077
Golden State Warriors,Oklahoma City Thunder,0.7370973264442682
Houston Rockets,Detroit Pistons,0.7758701709599742
Portland Trail Blazers,Milwaukee Bucks,0.5388132612628922
Denver Nuggets,Minnesota Timberwolves,0.5164712304483458
Philadelphia 76ers,New Orleans Pelicans,0.6020615823293812
San Antonio Spurs,Memphis Grizzlies,0.8825096096669833
Utah Jazz,Sacramento Kings,0.8222841008476841
Boston Celtics,Atlanta Hawks,0.9119592098109752
Minnesota Timberwolves,Brooklyn Nets,0.7962230643847614
Miami Heat,Chicago Bulls,0.7467353084805524
Denver Nuggets,Orlando Magic,0.813311091586652
Houston Rockets,Detroit Pistons,0.895647778210457
